"id_bibrec","status","docname"
16253,"status:PA16JU","PAL_E424"
16250,"status:PA16JU","PAL_E337"
16249,"status:PA16JU","PAL_E3487"
16248,"status:PA16JU","PAL_E3497"
16247,"status:PA16JU","PAL_E3495"
16246,"status:PA16JU","PAL_E3494"
16245,"status:PA16JU","PAL_E3491"
16244,"status:PA16JU","PAL_E3490"
16243,"status:PA16JU","PAL_E3486"
16242,"status:PA16JU","PAL_E3477"
16241,"status:PA16JU","PAL_E3476"
16240,"status:PA16JU","PAL_E3475"
16239,"status:PA16JU","PAL_E3474"
16238,"status:PA16JU","PAL_E3473"
16237,"status:PA16JU","PAL_E3472"
16236,"status:PA16JU","PAL_E3471"
16235,"status:PA16JU","PAL_E3466"
16234,"status:PA16JU","PAL_E3465"
16233,"status:PA16JU","PAL_E3485"
16232,"status:PA16JU","PAL_E3484"
16231,"status:PA16JU","PAL_E3483"
16230,"status:PA16JU","PAL_E3481"
16229,"status:PA16JU","PAL_E3463"
16228,"status:PA16JU","PAL_E3457"
16227,"status:PA16JU","PAL_E3452"
16226,"status:PA16JU","PAL_E3451"
16225,"status:PA16JU","PAL_E3449"
16224,"status:PA16JU","PAL_E3447"
16223,"status:PA16JU","PAL_E3445"
16222,"status:PA16JU","PAL_E3444"
16221,"status:PA16JU","PAL_E3443"
16220,"status:PA16JU","PAL_E3438"
16219,"status:PA16JU","PAL_E3437"
16218,"status:PA16JU","PAL_E3435"
16217,"status:PA16JU","PAL_E3434"
16216,"status:PA16JU","PAL_E3433"
16215,"status:PA16JU","PAL_E3432"
16214,"status:PA16JU","PAL_E3424"
16213,"status:PA16JU","PAL_E3423"
16212,"status:PA16JU","PAL_E3422"
16211,"status:PA16JU","PAL_E3420"
16210,"status:PA16JU","PAL_E3419"
16209,"status:PA16JU","PAL_E3417"
16208,"status:PA16JU","PAL_E3416"
16207,"status:PA16JU","PAL_E3415"
16206,"status:PA16JU","PAL_E3414"
16205,"status:PA16JU","PAL_E3413"
16204,"status:PA16JU","PAL_E3412"
16203,"status:PA16JU","PAL_E3429"
